wavelength_nm,E_norm
380.05,0.00044
380.42,0.00105
380.8,0.00108
381.17,0.0007
381.55,0.00088
381.93,0.0009
382.3,0.00116
382.68,0.00118
383.05,0.00093
383.43,0.00125
383.81,0.00095
384.18,0.00122
384.56,0.00122
384.93,0.00087
385.31,0.00096
385.68,0.00101
386.06,0.00126
386.44,0.00086
386.81,0.00079
387.19,0.0007
387.56,0.00086
387.94,0.00109
388.31,0.00092
388.69,0.00093
389.06,0.00121
389.44,0.00115
389.81,0.00072
390.19,0.00103
390.56,0.00157
390.94,0.00123
391.31,0.00076
391.69,0.00114
392.07,0.00102
392.44,0.00135
392.82,0.00095
393.19,0.0011
393.56,0.00123
393.94,0.00135
394.31,0.00125
394.69,0.00103
395.06,0.00121
395.44,0.00134
395.81,0.00118
396.19,0.00142
396.56,0.00135
396.94,0.00148
397.31,0.00135
397.69,0.00158
398.06,0.00151
398.44,0.00136
398.81,0.0014
399.18,0.00181
399.56,0.00155
399.93,0.00124
400.31,0.00141
400.68,0.00167
401.06,0.00233
401.43,0.00151
401.8,0.00204
402.18,0.00177
402.55,0.00176
402.93,0.00182
403.3,0.00199
403.68,0.00165
404.05,0.00188
404.42,0.00207
404.8,0.0024
405.17,0.0021
405.54,0.00224
405.92,0.00247
406.29,0.00217
406.67,0.00238
407.04,0.00223
407.41,0.00237
407.79,0.00247
408.16,0.00253
408.53,0.0028
408.91,0.00321
409.28,0.00318
409.65,0.00336
410.03,0.0034
410.4,0.00382
410.77,0.0038
411.15,0.00381
411.52,0.00456
411.89,0.00423
412.27,0.00463
412.64,0.00503
413.01,0.00575
413.39,0.00576
413.76,0.00598
414.13,0.00611
414.51,0.00697
414.88,0.00694
415.25,0.00765
415.63,0.00862
416.0,0.00925
416.37,0.00919
416.74,0.00952
417.12,0.01082
417.49,0.01124
417.86,0.01226
418.24,0.01308
418.61,0.01315
418.98,0.01497
419.35,0.01582
419.73,0.01704
420.1,0.01694
420.47,0.01865
420.84,0.01999
421.22,0.02194
421.59,0.02349
421.96,0.02533
422.33,0.027
422.7,0.02961
423.08,0.03205
423.45,0.0337
423.82,0.03627
424.19,0.03883
424.57,0.04209
424.94,0.04423
425.31,0.04666
425.68,0.05033
426.05,0.0528
426.43,0.05784
426.8,0.06143
427.17,0.06516
427.54,0.0687
427.91,0.07325
428.28,0.07979
428.66,0.08396
429.03,0.0913
429.4,0.0914
429.77,0.09986
430.14,0.10557
430.51,0.10829
