wavelength_nm,R_qe_pct,G_qe_pct,B_qe_pct
400,4.78,3.24,28.81
405,4.1,3.24,31.46
410,3.67,3.24,34.23
415,3.2,3.16,36.88
420,2.52,3.07,39.23
425,2.18,2.99,41.15
430,2.05,3.07,42.94
435,1.71,3.16,45.03
440,1.41,3.46,46.61
445,1.28,3.71,47.63
450,1.24,4.14,47.93
455,1.11,5.25,48.02
460,1.07,8.07,47.76
465,1.2,12.63,46.27
470,1.24,19.8,44.69
475,1.24,27.4,42.38
480,1.37,34.4,39.82
485,1.28,41.79,36.49
490,1.32,47.08,32.78
495,1.58,50.62,29.28
500,1.84,52.97,25.61
505,2.13,54.42,21.77
510,2.52,55.62,18.35
515,3.12,56.51,15.15
520,3.54,56.9,12.59
525,3.84,56.98,10.76
530,3.54,56.81,9.18
535,3.12,56.6,7.77
540,2.77,55.96,6.45
545,2.26,54.76,5.38
550,1.96,53.57,4.44
555,2.18,52.5,3.33
560,3.03,50.96,2.88
565,6.36,49.26,2.43
570,11.7,47.51,2.05
575,20.62,45.29,1.88
580,29.58,42.85,1.71
585,38.59,40.98,1.58
590,46.35,36.58,1.37
595,50.11,33.04,1.24
600,51.77,28.51,1.24
605,52.03,24.24,1.15
610,51.9,20.57,1.07
615,51.52,17.29,1.07
620,50.92,15.11,1.2
625,50.24,13.36,1.41
630,49.81,11.78,1.58
635,49.51,10.8,1.79
640,49.21,9.99,2.22
645,48.36,9.22,2.52
650,47.29,8.75,2.77
655,45.97,8.62,3.07
660,44.52,8.62,3.5
665,43.02,8.96,3.59
670,41.36,9.9,3.88
675,39.91,10.84,3.97
680,38.46,11.95,4.05
685,37.13,13.06,4.14
690,36.2,14.26,4.14
695,36.02,15.41,3.97
700,36.11,16.22,3.88
705,36.28,16.86,3.76
710,36.2,17.07,3.5
715,35.85,16.86,3.24
720,35.81,16.6,2.9
725,35.81,16.39,2.69
730,35.9,16.35,2.52
735,35.55,16.39,2.35
740,34.57,16.65,2.35
745,33.16,16.86,2.39
750,31.71,17.07,2.35
755,30.52,17.41,2.39
760,29.75,17.76,2.69
765,29.37,18.44,3.16
770,29.11,18.91,4.01
775,28.64,19.42,5.8
780,27.91,19.42,7.51
785,26.93,19.55,9.9
790,25.87,19.55,12.72
795,25.01,19.51,15.32
800,24.2,19.55,17.88
805,23.52,19.42,20.23
810,22.96,19.38,21.21
815,22.24,19.29,21.68
820,21.3,19.08,21.34
825,20.4,18.65,21.0
830,19.34,18.18,19.93
835,18.23,17.41,18.78
840,17.5,16.77,18.05
845,16.82,16.05,17.37
850,16.39,15.58,16.9
855,15.96,15.02,16.6
860,15.54,14.55,16.69
865,15.02,14.0,16.48
870,14.43,13.4,15.92
875,13.62,12.85,15.28
880,12.98,12.21,14.55
885,12.21,11.61,13.74
890,11.35,10.84,12.76
895,10.8,10.29,11.82
900,10.12,9.8,11.18
905,9.56,9.3,10.5
910,9.09,8.8,9.99
915,8.54,8.31,9.52
920,8.11,7.82,9.13
925,7.85,7.32,8.66
930,7.17,6.82,8.2
935,6.66,6.33,7.6
940,6.23,5.84,7.13
945,5.8,5.34,6.57
950,5.46,4.99,6.22
955,4.95,4.7,5.87
960,4.61,4.41,5.52
965,4.4,4.12,5.17
970,4.1,3.83,4.82
975,3.8,3.54,4.48
980,3.5,3.25,4.13
985,3.16,2.96,3.78
990,2.82,2.67,3.43
995,2.48,2.38,3.08
1000,2.3,2.09,2.73
